Species,PV gray,PFC gray,Assoc gray,Motor gray,PV white,PFC white,Assoc white,Motor white
Cercopithecus ascanius,4.272,1.154,16.06,1.351,0.834,0.159,8.297,0.93
Cercopithecus mitis,4.232,1.38,19.385,1.852,1.042,0.205,9.911,0.946
Erythrocebus patas,,1.56,,2.552,,0.272,,1.848
Miopithecus talapoin,2.339,1.018,12.218,0.906,0.709,0.152,4.642,0.548
Alouatta seniculus,1.918,1.015,12.394,1.077,0.543,0.177,4.212,0.866
Ateles geoffroyi,3.753,2.773,32.933,3.119,0.985,0.286,10.332,1.586
Lagothrix lagotricha,4.856,1.887,24.188,2.434,1.226,0.226,12.496,1.625
Cebus albifrons,3.764,1.434,21.024,1.977,0.939,0.257,12.053,1.425
Gorilla gorilla gorilla,12.062,11.642,125.539,14.854,3.123,2.608,60.386,10.295
Homo sapiens,14.787,46.323,271.891,29.013,5.439,28.135,258.218,29.755
Hylobates lar,4.574,2.588,28.424,2.744,1.176,0.51,12.915,1.743
Pan paniscus,,7.956,,8.356,,2.056,,5.243
Pan troglodytes troglodytes,10.593,14.209,112.75,13.407,4.004,4.607,76.6,12.78
Pongo pygmaeus,7.008,8.596,76.924,6.353,,2.52,,4.745
Pithecia pithecia,1.679,0.6,9.242,0.819,0.451,0.081,4.2,0.496
Lophocebus albigena,5.42,2.311,29.102,3.926,1.411,0.424,17.092,3.063
Papio anubis,10.001,3.921,45.24,4.686,3.74,0.845,33.835,3.325
Nasalis larvatus,,0.813,,1.749,,0.074,,0.933
Piliocolobus badius,3.053,1.591,22.629,2.26,0.926,0.201,9.665,1.317
