"Species","Time_to_locomotion_days","Time_to_weaning_days","Time_to_adolescence_months","REM_sleep_percent","Phylogenetic_distance_Mya"
"Vervet monkey",21,117,48,6,29
"Mongoose lemur",35,150,36,7,74
"Gray mouse lemur",21,51,2,7,74
"Spider monkey",NA,821,NA,7,43
"Yellow baboon",60,365,16,8,29
"Patas monkey",150,216,22,9,29
"Black lemur",43,170,18,9,74
"Barbary macaque",NA,258,12,9,29
"Senegal galago",7,105,2,9,74
"Green monkey",NA,365,12,9,29
"Brown lemur",NA,150,25,9,74
"Guinea baboon",14,420,14,11,29
"Three-striped night monkey",34,77,42,11,43
"Long-tailed macaque",NA,385,NA,11,29
"Pigtail macaque",35,342,11,12,29
"Bornean orangutan",120,1637,60,12,16
"Hamadryas baboon",NA,315,24,13,29
"Olive baboon",14,390,14,13,29
"Bonnet macaque",180,195,11,14,29
"Common marmoset",14,81,5,14,43
"Stump-tailed macaque",NA,270,18,15,29
"Common squirrel monkey",160,177,24,15,43
"Chimpanzee",70,1393,96,16,7
"Rhesus monkey",180,365,78,18,29
"Human",318,1095,162,21,0
