species,species_as_published,group,cer_white_cm3,cer_gray_cm3,neo_white_cm3,neo_gray_cm3,source
Hylobates lar,Hylobates lar,Apes,2.93,12.8,21.9,45.1,Bush_Allman_2003
Pan troglodytes,Pan troglodytes,Apes,8.63,36.1,104,163,Bush_Allman_2003
Cercocebus torquatus,Cercocebus torquatus,Old World Monkeys,1.96,4.47,40.4,47.9,Bush_Allman_2003
Cercopithecus nictitans,Cercopithecus nictitans,Old World Monkeys,0.965,3.84,11.8,36.0,Bush_Allman_2003
Macaca mulatta,Macaca mulatta,Old World Monkeys,1.38,3.68,16.4,30.5,Bush_Allman_2003
Mandrillus sphinx,Mandrillus sphinx,Old World Monkeys,1.89,7.16,27.9,71.3,Bush_Allman_2003
Papio hamadryas,Papio hamadryas,Old World Monkeys,2.98,9.14,37.1,71.4,Bush_Allman_2003
Semnopithecus entellus,Semnopithecus entellus,Old World Monkeys,2.27,9.15,24.3,51.8,Bush_Allman_2003
Alouatta palliata,Alouatta palliata,New World Monkeys,1.05,3.32,11.6,17.4,Bush_Allman_2003
Aotus trivirgatus,Aotus trivirgatus,New World Monkeys,0.174,0.753,1.49,4.32,Bush_Allman_2003
Ateles sp.,Ateles sp.,New World Monkeys,1.68,5.97,17.7,28.9,Bush_Allman_2003
Callicebus sp.,Callicebus sp.,New World Monkeys,0.249,0.833,1.94,5.12,Bush_Allman_2003
Saimiri sciureus,Saimiri sciureus,New World Monkeys,0.393,1.49,3.70,10.4,Bush_Allman_2003
Tarsius syrichta,Tarsius syricta,Tarsier,0.0473,0.247,0.151,1.47,Bush_Allman_2003
Eulemur mongoz,Eulemur mongoz,Strepsirrhines,0.486,1.88,3.83,8.23,Bush_Allman_2003
Galago senegalensis,Galago senegalensis,Strepsirrhines,0.0634,0.354,0.195,1.20,Bush_Allman_2003
Lemur catta,Lemur catta,Strepsirrhines,0.409,2.27,2.12,8.96,Bush_Allman_2003
Microcebus murinus,Microcebus urinus,Strepsirrhines,0.0331,0.172,0.0976,0.591,Bush_Allman_2003
Nycticebus coucang,Nycticebus coucang,Strepsirrhines,0.196,1.20,1.07,4.40,Bush_Allman_2003
Otolemur crassicaudatus,Otolemur crassicaudatus,Strepsirrhines,0.127,0.747,0.572,3.10,Bush_Allman_2003
Perodicticus potto,Perodicticus potto,Strepsirrhines,0.183,1.14,0.638,3.91,Bush_Allman_2003
Odocoileus virginianus,Odocoileus virginianus,Artiodactyls,4.16,11.1,24.4,52.0,Bush_Allman_2003
Tayassu tajacu,Tayassu tajacu,Artiodactyls,1.25,4.17,6.96,18.4,Bush_Allman_2003
Marmosa mitis,Marmosa mitis,Marsupials,0.0102,0.0871,0.0113,0.119,Bush_Allman_2003
Didelphis marsupialis,Didelphis marsupialis,Marsupials,0.16,0.67,0.151,0.939,Bush_Allman_2003
Myrmecophaga tridactyla,Myrmecophaga tridactyla,Xenarthra,3.19,9.02,8.58,19.9,Bush_Allman_2003
Tamandua tetradactyla,Tamandua tatradactyla,Xenarthra,0.678,2.98,2.16,7.25,Bush_Allman_2003
Choloepus didactylus,Choloepus didactylis,Xenarthra,0.682,2.30,2.63,7.91,Bush_Allman_2003
Procavia capensis,Procavia capensis,Hyrax,0.31,1.12,1.33,4.21,Bush_Allman_2003
Equus burchelli,Equus burchelli,Zebra,9.6,27.4,88.4,149,Bush_Allman_2003
Aplodontia rufa,Applodontia rufa,Rodents,0.137,0.665,0.376,1.48,Bush_Allman_2003
Chinchilla laniger,Chinchilla laniger,Rodents,0.173,0.792,0.269,1.16,Bush_Allman_2003
Myoxus glis,Myoxus glis,Rodents,0.0481,0.245,0.0678,0.49,Bush_Allman_2003
Rattus norvegicus,Rattus norvegicus,Rodents,0.0287,0.183,0.0534,0.529,Bush_Allman_2003
Sciurus carolinensis,Sciurus carolinensis,Rodents,0.184,0.904,0.44,2.48,Bush_Allman_2003
Ailurus fulgens,Ailurus fulgens,Carnivores,1.10,3.97,6.25,13.8,Bush_Allman_2003
Canis latrans,Canis latrans,Carnivores,1.34,4.17,15.5,30.4,Bush_Allman_2003
Crocuta crocuta,Crocuta crocuta,Carnivores,3.12,8.34,28.9,56.1,Bush_Allman_2003
Galictis vittatus,Galictis vitatus,Carnivores,0.324,1.44,2.72,9.09,Bush_Allman_2003
Mustela putorius,Mustela putorius,Carnivores,0.122,0.626,0.569,2.14,Bush_Allman_2003
Mustela vison,Mustela vison,Carnivores,0.217,0.859,1.21,4.75,Bush_Allman_2003
Nasua narica,Nasua narica,Carnivores,0.794,2.94,4.80,12.1,Bush_Allman_2003
Potos flavus,Potos flavus,Carnivores,1.07,4.32,6.16,13.2,Bush_Allman_2003
Vulpes zerda,Vulpes zerda,Carnivores,0.271,1.21,1.53,5.73,Bush_Allman_2003
Zalophus californianus,Zalophus californianus,Carnivores,13.6,67.1,88.7,213,Bush_Allman_2003
