source,Species,Species_printed,Standardized_Term,Value,species_confidence
Eagleman_Vaughn_2021_TABLE1,Chlorocebus pygerythrus,Vervet monkey,REM_sleep_pct,6,medium
Eagleman_Vaughn_2021_TABLE1,Eulemur mongoz,Mongoose lemur,REM_sleep_pct,7,high
Eagleman_Vaughn_2021_TABLE1,Microcebus murinus,Gray mouse lemur,REM_sleep_pct,7,high
Eagleman_Vaughn_2021_TABLE1,Ateles geoffroyi,Spider monkey,REM_sleep_pct,7,review
Eagleman_Vaughn_2021_TABLE1,Papio cynocephalus,Yellow baboon,REM_sleep_pct,8,high
Eagleman_Vaughn_2021_TABLE1,Erythrocebus patas,Patas monkey,REM_sleep_pct,9,high
Eagleman_Vaughn_2021_TABLE1,Eulemur macaco,Black lemur,REM_sleep_pct,9,high
Eagleman_Vaughn_2021_TABLE1,Macaca sylvanus,Barbary macaque,REM_sleep_pct,9,high
Eagleman_Vaughn_2021_TABLE1,Galago senegalensis,Senegal galago,REM_sleep_pct,9,high
Eagleman_Vaughn_2021_TABLE1,Chlorocebus sabaeus,Green monkey,REM_sleep_pct,9,medium
Eagleman_Vaughn_2021_TABLE1,Eulemur fulvus,Brown lemur,REM_sleep_pct,9,review
Eagleman_Vaughn_2021_TABLE1,Papio papio,Guinea baboon,REM_sleep_pct,11,high
Eagleman_Vaughn_2021_TABLE1,Aotus trivirgatus,Three-striped night monkey,REM_sleep_pct,11,high
Eagleman_Vaughn_2021_TABLE1,Macaca fascicularis,Long-tailed macaque,REM_sleep_pct,11,high
Eagleman_Vaughn_2021_TABLE1,Macaca nemestrina,Pigtail macaque,REM_sleep_pct,12,high
Eagleman_Vaughn_2021_TABLE1,Pongo pygmaeus,Bornean orangutan,REM_sleep_pct,12,high
Eagleman_Vaughn_2021_TABLE1,Papio hamadryas,Hamadryas baboon,REM_sleep_pct,13,high
Eagleman_Vaughn_2021_TABLE1,Papio anubis,Olive baboon,REM_sleep_pct,13,high
Eagleman_Vaughn_2021_TABLE1,Macaca radiata,Bonnet macaque,REM_sleep_pct,14,high
Eagleman_Vaughn_2021_TABLE1,Callithrix jacchus,Common marmoset,REM_sleep_pct,14,high
Eagleman_Vaughn_2021_TABLE1,Macaca arctoides,Stump-tailed macaque,REM_sleep_pct,15,high
Eagleman_Vaughn_2021_TABLE1,Saimiri sciureus,Common squirrel monkey,REM_sleep_pct,15,high
Eagleman_Vaughn_2021_TABLE1,Pan troglodytes,Chimpanzee,REM_sleep_pct,16,high
Eagleman_Vaughn_2021_TABLE1,Macaca mulatta,Rhesus monkey,REM_sleep_pct,18,high
Eagleman_Vaughn_2021_TABLE1,Homo sapiens,Human,REM_sleep_pct,21,high
HerculanoHouzel__2015_Table1,Aotus trivirgatus,Aotus trivirgatus,Sleep_h_day,16.97,high
HerculanoHouzel__2015_Table1,Callithrix sp.,Callithrix sp.,Sleep_h_day,10.22,high
HerculanoHouzel__2015_Table1,Cebus apella,Cebus apella,Sleep_h_day,5.95,high
HerculanoHouzel__2015_Table1,Saimiri sciureus,Saimiri sciureus,Sleep_h_day,9.11,high
HerculanoHouzel__2015_Table1,Macaca mulatta,Macaca mulatta,Sleep_h_day,8.74,high
HerculanoHouzel__2015_Table1,Macaca radiata,Macaca radiata,Sleep_h_day,9.02,high
HerculanoHouzel__2015_Table1,Papio cynocephalus,Papio cynocephalus,Sleep_h_day,6.19,high
HerculanoHouzel__2015_Table1,Homo sapiens,Homo sapiens,Sleep_h_day,8.47,high
HerculanoHouzel__2015_Table1,Blarina brevicauda,Blarina brevicauda,Sleep_h_day,14.9,high
HerculanoHouzel__2015_Table1,Condylura cristata,Condylura cristata,Sleep_h_day,10.32,high
HerculanoHouzel__2015_Table1,Erinaceus europaeus,Erinaceus europaeus,Sleep_h_day,13.96,high
HerculanoHouzel__2015_Table1,Scalopus aquaticus,Scalopus aquaticus,Sleep_h_day,8.45,high
HerculanoHouzel__2015_Table1,Cavia porcellus,Cavia porcellus,Sleep_h_day,9.37,high
HerculanoHouzel__2015_Table1,Mesocricetus auratus,Mesocricetus auratus,Sleep_h_day,14.98,high
HerculanoHouzel__2015_Table1,Mus musculus,Mus musculus,Sleep_h_day,11.6,high
HerculanoHouzel__2015_Table1,Oryctolagus cuniculus,Oryctolagus cuniculus,Sleep_h_day,9.55,high
HerculanoHouzel__2015_Table1,Rattus norvegicus,Rattus norvegicus,Sleep_h_day,12.27,high
HerculanoHouzel__2015_Table1,Dendrohyrax sp.,Dendrohyrax sp.,Sleep_h_day,5.4,high
HerculanoHouzel__2015_Table1,Loxodonta africana,Loxodonta Africana,Sleep_h_day,3.3,high
HerculanoHouzel__2015_Table1,Procavia sp.,Procavia sp.,Sleep_h_day,5.45,high
HerculanoHouzel__2015_Table1,Bos taurus,Bos taurus,Sleep_h_day,3.19,high
HerculanoHouzel__2015_Table1,Giraffa camelopardalis,Giraffa camelopardalis,Sleep_h_day,3.44,high
HerculanoHouzel__2015_Table1,Sus scrofa,Sus scrofa,Sleep_h_day,8.2,high
HerculanoHouzel__2015_Table1,Tupaia sp.,Tupaia sp.,Sleep_h_day,15.84,high
