,,,Whole.Brain.CMRgl.N.unweighted,Whole.Brain.CMRgl.Mean.unweighted,Whole.Brain.CMRgl.Std..Deviation.unweighted,Whole.Brain.CMRgl.CV.unweighted,Whole.Brain.CMRgl.CV_unbiased.unweighted,Whole.Brain.CMR02.N.unweighted,Whole.Brain.CMR02.Mean.unweighted,Whole.Brain.CMR02.Std..Deviation.unweighted,Whole.Brain.CMR02.CV.unweighted,Whole.Brain.CMR02.CV_unbiased.unweighted,Whole.Brain.CBF.N.unweighted,Whole.Brain.CBF.Mean.unweighted,Whole.Brain.CBF.Std..Deviation.unweighted,Whole.Brain.CBF.CV.unweighted,Whole.Brain.CBF.CV_unbiased.unweighted,Cortex.CMRgl.N.unweighted,Cortex.CMRgl.Mean.unweighted,Cortex.CMRgl.Std..Deviation.unweighted,Cortex.CMRgl.CV.unweighted,Cortex.CMRgl.CV_unbiased.unweighted,Cortex.CMR02.N.unweighted,Cortex.CMR02.Mean.unweighted,Cortex.CMR02.Std..Deviation.unweighted,Cortex.CMR02.CV.unweighted,Cortex.CMR02.CV_unbiased.unweighted,Cortex.CBF.N.unweighted,Cortex.CBF.Mean.unweighted,Cortex.CBF.Std..Deviation.unweighted,Cortex.CBF.CV.unweighted,Cortex.CBF.CV_unbiased.unweighted,Frontal.Cortex.CMRgl.N.unweighted,Frontal.Cortex.CMRgl.Mean.unweighted,Frontal.Cortex.CMRgl.Std..Deviation.unweighted,Frontal.Cortex.CMRgl.CV.unweighted,Frontal.Cortex.CMRgl.CV_unbiased.unweighted,Frontal.Cortex.CMR02.N.unweighted,Frontal.Cortex.CMR02.Mean.unweighted,Frontal.Cortex.CMR02.Std..Deviation.unweighted,Frontal.Cortex.CMR02.CV.unweighted,Frontal.Cortex.CMR02.CV_unbiased.unweighted,Parietal..Cortex.CMRgl.N.unweighted,Parietal..Cortex.CMRgl.Mean.unweighted,Parietal..Cortex.CMRgl.Std..Deviation.unweighted,Parietal..Cortex.CMRgl.CV.unweighted,Parietal..Cortex.CMRgl.CV_unbiased.unweighted,Parietal..Cortex.CMR02.N.unweighted,Parietal..Cortex.CMR02.Mean.unweighted,Parietal..Cortex.CMR02.Std..Deviation.unweighted,Parietal..Cortex.CMR02.CV.unweighted,Parietal..Cortex.CMR02.CV_unbiased.unweighted,Temporal..Cortex.CMRgl.N.unweighted,Temporal..Cortex.CMRgl.Mean.unweighted,Temporal..Cortex.CMRgl.Std..Deviation.unweighted,Temporal..Cortex.CMRgl.CV.unweighted,Temporal..Cortex.CMRgl.CV_unbiased.unweighted,Temporal..Cortex.CMR02.N.unweighted,Temporal..Cortex.CMR02.Mean.unweighted,Temporal..Cortex.CMR02.Std..Deviation.unweighted,Temporal..Cortex.CMR02.CV.unweighted,Temporal..Cortex.CMR02.CV_unbiased.unweighted,Auditory..Cortex.CMRgl.N.unweighted,Auditory..Cortex.CMRgl.Mean.unweighted,Auditory..Cortex.CMRgl.Std..Deviation.unweighted,Auditory..Cortex.CMRgl.CV.unweighted,Auditory..Cortex.CMRgl.CV_unbiased.unweighted,Occipital..Cortex.CMRgl.N.unweighted,Occipital..Cortex.CMRgl.Mean.unweighted,Occipital..Cortex.CMRgl.Std..Deviation.unweighted,Occipital..Cortex.CMRgl.CV.unweighted,Occipital..Cortex.CMRgl.CV_unbiased.unweighted,Occipital..Cortex.CMRO2.N.unweighted,Occipital..Cortex.CMRO2.Mean.unweighted,Occipital..Cortex.CMRO2.Std..Deviation.unweighted,Occipital..Cortex.CMRO2.CV.unweighted,Occipital..Cortex.CMRO2.CV_unbiased.unweighted,Sensorimotor.Cortex.CMRgl.N.unweighted,Sensorimotor.Cortex.CMRgl.Mean.unweighted,Sensorimotor.Cortex.CMRgl.Std..Deviation.unweighted,Sensorimotor.Cortex.CMRgl.CV.unweighted,Sensorimotor.Cortex.CMRgl.CV_unbiased.unweighted,Sensorimotor.Cortex.CMR02.N.unweighted,Sensorimotor.Cortex.CMR02.Mean.unweighted,Sensorimotor.Cortex.CMR02.Std..Deviation.unweighted,Sensorimotor.Cortex.CMR02.CV.unweighted,Sensorimotor.Cortex.CMR02.CV_unbiased.unweighted,Cingulate..Cortex.CMRgl.N.unweighted,Cingulate..Cortex.CMRgl.Mean.unweighted,Cingulate..Cortex.CMRgl.Std..Deviation.unweighted,Cingulate..Cortex.CMRgl.CV.unweighted,Cingulate..Cortex.CMRgl.CV_unbiased.unweighted,Cingulate..Cortex.CMR02.N.unweighted,Cingulate..Cortex.CMR02.Mean.unweighted,Cingulate..Cortex.CMR02.Std..Deviation.unweighted,Cingulate..Cortex.CMR02.CV.unweighted,Cingulate..Cortex.CMR02.CV_unbiased.unweighted,Thalamus..CMRgl.N.unweighted,Thalamus..CMRgl.Mean.unweighted,Thalamus..CMRgl.Std..Deviation.unweighted,Thalamus..CMRgl.CV.unweighted,Thalamus..CMRgl.CV_unbiased.unweighted,Thalamus..CMR02.N.unweighted,Thalamus..CMR02.Mean.unweighted,Thalamus..CMR02.Std..Deviation.unweighted,Thalamus..CMR02.CV.unweighted,Thalamus..CMR02.CV_unbiased.unweighted,Thalamus..CBF.N.unweighted,Thalamus..CBF.Mean.unweighted,Thalamus..CBF.Std..Deviation.unweighted,Thalamus..CBF.CV.unweighted,Thalamus..CBF.CV_unbiased.unweighted,Hippocampus.CMRgl.N.unweighted,Hippocampus.CMRgl.Mean.unweighted,Hippocampus.CMRgl.Std..Deviation.unweighted,Hippocampus.CMRgl.CV.unweighted,Hippocampus.CMRgl.CV_unbiased.unweighted,Hippocampus.CMR02.N.unweighted,Hippocampus.CMR02.Mean.unweighted,Hippocampus.CMR02.Std..Deviation.unweighted,Hippocampus.CMR02.CV.unweighted,Hippocampus.CMR02.CV_unbiased.unweighted,Hippocampus.CBF.N.unweighted,Hippocampus.CBF.Mean.unweighted,Hippocampus.CBF.Std..Deviation.unweighted,Hippocampus.CBF.CV.unweighted,Hippocampus.CBF.CV_unbiased.unweighted,Basal.Ganglia.CMRgl.N.unweighted,Basal.Ganglia.CMRgl.Mean.unweighted,Basal.Ganglia.CMRgl.Std..Deviation.unweighted,Basal.Ganglia.CMRgl.CV.unweighted,Basal.Ganglia.CMRgl.CV_unbiased.unweighted,Basal.Ganglia.CMR02.N.unweighted,Basal.Ganglia.CMR02.Mean.unweighted,Basal.Ganglia.CMR02.Std..Deviation.unweighted,Basal.Ganglia.CMR02.CV.unweighted,Basal.Ganglia.CMR02.CV_unbiased.unweighted,Basal.Ganglia.CBF.N.unweighted,Basal.Ganglia.CBF.Mean.unweighted,Basal.Ganglia.CBF.Std..Deviation.unweighted,Basal.Ganglia.CBF.CV.unweighted,Basal.Ganglia.CBF.CV_unbiased.unweighted,Cerebellum.CMRgl.N.unweighted,Cerebellum.CMRgl.Mean.unweighted,Cerebellum.CMRgl.Std..Deviation.unweighted,Cerebellum.CMRgl.CV.unweighted,Cerebellum.CMRgl.CV_unbiased.unweighted,Cerebellum.CMR02.N.unweighted,Cerebellum.CMR02.Mean.unweighted,Cerebellum.CMR02.Std..Deviation.unweighted,Cerebellum.CMR02.CV.unweighted,Cerebellum.CMR02.CV_unbiased.unweighted,Cerebellum.CBF.N.unweighted,Cerebellum.CBF.Mean.unweighted,Cerebellum.CBF.Std..Deviation.unweighted,Cerebellum.CBF.CV.unweighted,Cerebellum.CBF.CV_unbiased.unweighted,White.Matter.CMRgl.N.unweighted,White.Matter.CMRgl.Mean.unweighted,White.Matter.CMRgl.Std..Deviation.unweighted,White.Matter.CMRgl.CV.unweighted,White.Matter.CMRgl.CV_unbiased.unweighted,White.Matter.CMR02.N.unweighted,White.Matter.CMR02.Mean.unweighted,White.Matter.CMR02.Std..Deviation.unweighted,White.Matter.CMR02.CV.unweighted,White.Matter.CMR02.CV_unbiased.unweighted,White.Matter.CBF.N.unweighted,White.Matter.CBF.Mean.unweighted,White.Matter.CBF.Std..Deviation.unweighted,White.Matter.CBF.CV.unweighted,White.Matter.CBF.CV_unbiased.unweighted
Kaufman.Species,weight,Species.weight,Whole.Brain.CMRgl.N,Whole.Brain.CMRgl.Mean,Whole.Brain.CMRgl.Std..Deviation,Whole.Brain.CMRgl.CV,Whole.Brain.CMRgl.CV_unbiased,Whole.Brain.CMR02.N,Whole.Brain.CMR02.Mean,Whole.Brain.CMR02.Std..Deviation,Whole.Brain.CMR02.CV,Whole.Brain.CMR02.CV_unbiased,Whole.Brain.CBF.N,Whole.Brain.CBF.Mean,Whole.Brain.CBF.Std..Deviation,Whole.Brain.CBF.CV,Whole.Brain.CBF.CV_unbiased,Cortex.CMRgl.N,Cortex.CMRgl.Mean,Cortex.CMRgl.Std..Deviation,Cortex.CMRgl.CV,Cortex.CMRgl.CV_unbiased,Cortex.CMR02.N,Cortex.CMR02.Mean,Cortex.CMR02.Std..Deviation,Cortex.CMR02.CV,Cortex.CMR02.CV_unbiased,Cortex.CBF.N,Cortex.CBF.Mean,Cortex.CBF.Std..Deviation,Cortex.CBF.CV,Cortex.CBF.CV_unbiased,Frontal.Cortex.CMRgl.N,Frontal.Cortex.CMRgl.Mean,Frontal.Cortex.CMRgl.Std..Deviation,Frontal.Cortex.CMRgl.CV,Frontal.Cortex.CMRgl.CV_unbiased,Frontal.Cortex.CMR02.N,Frontal.Cortex.CMR02.Mean,Frontal.Cortex.CMR02.Std..Deviation,Frontal.Cortex.CMR02.CV,Frontal.Cortex.CMR02.CV_unbiased,Parietal..Cortex.CMRgl.N,Parietal..Cortex.CMRgl.Mean,Parietal..Cortex.CMRgl.Std..Deviation,Parietal..Cortex.CMRgl.CV,Parietal..Cortex.CMRgl.CV_unbiased,Parietal..Cortex.CMR02.N,Parietal..Cortex.CMR02.Mean,Parietal..Cortex.CMR02.Std..Deviation,Parietal..Cortex.CMR02.CV,Parietal..Cortex.CMR02.CV_unbiased,Temporal..Cortex.CMRgl.N,Temporal..Cortex.CMRgl.Mean,Temporal..Cortex.CMRgl.Std..Deviation,Temporal..Cortex.CMRgl.CV,Temporal..Cortex.CMRgl.CV_unbiased,Temporal..Cortex.CMR02.N,Temporal..Cortex.CMR02.Mean,Temporal..Cortex.CMR02.Std..Deviation,Temporal..Cortex.CMR02.CV,Temporal..Cortex.CMR02.CV_unbiased,Auditory..Cortex.CMRgl.N,Auditory..Cortex.CMRgl.Mean,Auditory..Cortex.CMRgl.Std..Deviation,Auditory..Cortex.CMRgl.CV,Auditory..Cortex.CMRgl.CV_unbiased,Occipital..Cortex.CMRgl.N,Occipital..Cortex.CMRgl.Mean,Occipital..Cortex.CMRgl.Std..Deviation,Occipital..Cortex.CMRgl.CV,Occipital..Cortex.CMRgl.CV_unbiased,Occipital..Cortex.CMRO2.N,Occipital..Cortex.CMRO2.Mean,Occipital..Cortex.CMRO2.Std..Deviation,Occipital..Cortex.CMRO2.CV,Occipital..Cortex.CMRO2.CV_unbiased,Sensorimotor.Cortex.CMRgl.N,Sensorimotor.Cortex.CMRgl.Mean,Sensorimotor.Cortex.CMRgl.Std..Deviation,Sensorimotor.Cortex.CMRgl.CV,Sensorimotor.Cortex.CMRgl.CV_unbiased,Sensorimotor.Cortex.CMR02.N,Sensorimotor.Cortex.CMR02.Mean,Sensorimotor.Cortex.CMR02.Std..Deviation,Sensorimotor.Cortex.CMR02.CV,Sensorimotor.Cortex.CMR02.CV_unbiased,Cingulate..Cortex.CMRgl.N,Cingulate..Cortex.CMRgl.Mean,Cingulate..Cortex.CMRgl.Std..Deviation,Cingulate..Cortex.CMRgl.CV,Cingulate..Cortex.CMRgl.CV_unbiased,Cingulate..Cortex.CMR02.N,Cingulate..Cortex.CMR02.Mean,Cingulate..Cortex.CMR02.Std..Deviation,Cingulate..Cortex.CMR02.CV,Cingulate..Cortex.CMR02.CV_unbiased,Thalamus..CMRgl.N,Thalamus..CMRgl.Mean,Thalamus..CMRgl.Std..Deviation,Thalamus..CMRgl.CV,Thalamus..CMRgl.CV_unbiased,Thalamus..CMR02.N,Thalamus..CMR02.Mean,Thalamus..CMR02.Std..Deviation,Thalamus..CMR02.CV,Thalamus..CMR02.CV_unbiased,Thalamus..CBF.N,Thalamus..CBF.Mean,Thalamus..CBF.Std..Deviation,Thalamus..CBF.CV,Thalamus..CBF.CV_unbiased,Hippocampus.CMRgl.N,Hippocampus.CMRgl.Mean,Hippocampus.CMRgl.Std..Deviation,Hippocampus.CMRgl.CV,Hippocampus.CMRgl.CV_unbiased,Hippocampus.CMR02.N,Hippocampus.CMR02.Mean,Hippocampus.CMR02.Std..Deviation,Hippocampus.CMR02.CV,Hippocampus.CMR02.CV_unbiased,Hippocampus.CBF.N,Hippocampus.CBF.Mean,Hippocampus.CBF.Std..Deviation,Hippocampus.CBF.CV,Hippocampus.CBF.CV_unbiased,Basal.Ganglia.CMRgl.N,Basal.Ganglia.CMRgl.Mean,Basal.Ganglia.CMRgl.Std..Deviation,Basal.Ganglia.CMRgl.CV,Basal.Ganglia.CMRgl.CV_unbiased,Basal.Ganglia.CMR02.N,Basal.Ganglia.CMR02.Mean,Basal.Ganglia.CMR02.Std..Deviation,Basal.Ganglia.CMR02.CV,Basal.Ganglia.CMR02.CV_unbiased,Basal.Ganglia.CBF.N,Basal.Ganglia.CBF.Mean,Basal.Ganglia.CBF.Std..Deviation,Basal.Ganglia.CBF.CV,Basal.Ganglia.CBF.CV_unbiased,Cerebellum.CMRgl.N,Cerebellum.CMRgl.Mean,Cerebellum.CMRgl.Std..Deviation,Cerebellum.CMRgl.CV,Cerebellum.CMRgl.CV_unbiased,Cerebellum.CMR02.N,Cerebellum.CMR02.Mean,Cerebellum.CMR02.Std..Deviation,Cerebellum.CMR02.CV,Cerebellum.CMR02.CV_unbiased,Cerebellum.CBF.N,Cerebellum.CBF.Mean,Cerebellum.CBF.Std..Deviation,Cerebellum.CBF.CV,Cerebellum.CBF.CV_unbiased,White.Matter.CMRgl.N,White.Matter.CMRgl.Mean,White.Matter.CMRgl.Std..Deviation,White.Matter.CMRgl.CV,White.Matter.CMRgl.CV_unbiased,White.Matter.CMR02.N,White.Matter.CMR02.Mean,White.Matter.CMR02.Std..Deviation,White.Matter.CMR02.CV,White.Matter.CMR02.CV_unbiased,White.Matter.CBF.N,White.Matter.CBF.Mean,White.Matter.CBF.Std..Deviation,White.Matter.CBF.CV,White.Matter.CBF.CV_unbiased
Canis,unweighted,Canis.unweighted,1,44.5,5,11.24,14.04,1,205.4,22.3,10.86,13.57,1,30.8,6.6,21.43,26.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capra,unweighted,Capra.unweighted,NA,NA,NA,NA,NA,2,173.43,26.83,15.47,17.4,1,77,7,9.09,11.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equus,unweighted,Equus.unweighted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65.4,4.81,7.35,8.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo,unweighted,Homo.unweighted,22,29.31,4.42,15.07,15.24,37,156.92,18.64,11.88,11.96,35,53.06,7.04,13.27,13.36,49,35.68,6.4,17.94,18.03,13,150.73,20.23,13.42,13.68,10,44.61,2.25,5.04,5.16,40,36.31,6.51,17.94,18.05,18,149.39,27.7,18.54,18.8,36,36.02,7.85,21.79,21.95,16,155.25,26.87,17.31,17.58,37,33.23,6.86,20.64,20.78,14,155.13,25.49,16.43,16.72,4,40.23,5.41,13.44,14.28,31,37.37,7.1,18.99,19.15,18,167.31,32.81,19.61,19.88,10,37.31,7.76,20.8,21.32,5,148.43,34.39,23.17,24.33,12,38.9,7.5,19.28,19.68,3,150.8,36.96,24.51,26.55,33,36.51,6.26,17.16,17.29,9,177.33,38.21,21.55,22.15,8,54.23,7.59,14,14.43,8,30.34,6.71,22.12,22.81,1,137.05,24.6,17.95,22.44,2,47.4,7.35,15.51,17.45,32,36.72,6.99,19.04,19.19,11,169.63,33.78,19.92,20.37,4,45.75,5.28,11.54,12.27,22,33.02,5.68,17.21,17.4,8,183.41,30.87,16.83,17.36,5,57.75,16.49,28.56,29.98,13,19.15,5.36,27.99,28.53,10,74.8,10.54,14.09,14.44,11,23.07,3.61,15.65,16.01
Lepus,unweighted,Lepus.unweighted,NA,NA,NA,NA,NA,1,205.4,17.9,8.71,10.89,1,48,18.5,38.54,48.18,1,77.42,17.9,23.12,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,73.1,17.4,23.8,29.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,76.4,19.7,25.79,32.23,NA,NA,NA,NA,NA,1,82.65,15.3,18.51,23.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,89.7,9.4,10.48,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,58.1,5.6,9.64,12.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,58.7,8,13.63,17.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,26.1,5.6,21.46,26.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca,unweighted,Macaca.unweighted,5,43.15,11.6,26.88,28.22,4,244.19,74.13,30.36,32.25,4,74.93,23.84,31.82,33.81,10,50.45,7.95,15.76,16.15,NA,NA,NA,NA,NA,1,53,7.5,14.15,17.69,6,47.92,11.24,23.46,24.44,NA,NA,NA,NA,NA,2,42.73,7.81,18.29,20.57,NA,NA,NA,NA,NA,3,36.4,1.44,3.96,4.29,NA,NA,NA,NA,NA,1,70.3,12.2,17.35,21.69,7,55.79,12.05,21.61,22.38,NA,NA,NA,NA,NA,6,51.61,7.39,14.32,14.92,NA,NA,NA,NA,NA,7,42.96,9.56,22.26,23.05,NA,NA,NA,NA,NA,10,45.22,5.26,11.63,11.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,34.1,4.57,13.41,13.89,NA,NA,NA,NA,NA,1,53.9,7.6,14.1,17.63,9,44.5,5.83,13.09,13.46,1,255,32,12.55,15.69,1,60.5,11.1,18.35,22.93,6,28.1,4.49,15.97,16.64,NA,NA,NA,NA,NA,1,47.8,5.1,10.67,13.34,6,12.55,2.94,23.41,24.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meriones,unweighted,Meriones.unweighted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,102,12.6,12.35,15.44,3,78.51,16.38,20.87,22.61,NA,NA,NA,NA,NA,2,112.8,32.24,28.59,32.16,1,67.8,15,22.12,27.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,69.4,20.6,29.68,37.1,NA,NA,NA,NA,NA,1,67.2,16.7,24.85,31.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,74.4,5.52,7.41,8.34,NA,NA,NA,NA,NA,1,117,10,8.55,10.68,1,69,19,27.54,34.42,NA,NA,NA,NA,NA,1,109,9,8.26,10.32,3,83.8,27.86,33.25,36.02,NA,NA,NA,NA,NA,2,113.75,47.73,41.96,47.21,1,44.4,14.4,32.43,40.54,NA,NA,NA,NA,NA,1,93,15.8,16.99,21.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,62,12,19.35,24.19
Mus,unweighted,Mus.unweighted,4,68.03,8.42,12.38,13.15,NA,NA,NA,NA,NA,1,117,20,17.09,21.37,8,97.88,26.83,27.41,28.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,108.83,19.06,17.52,18.24,NA,NA,NA,NA,NA,2,126,2.83,2.24,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,102.17,37.94,37.14,38.69,4,97.75,34.21,35,37.18,NA,NA,NA,NA,NA,6,103.5,27.56,26.63,27.74,NA,NA,NA,NA,NA,3,83,19.97,24.07,26.07,NA,NA,NA,NA,NA,5,116.32,27.67,23.79,24.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,69.34,19.49,28.11,29.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,85.64,31.31,36.56,38.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,90.5,7.59,8.39,8.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,43.8,19.93,45.51,47.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
