source,species,weighting,region,measure,stat,built,manual,status,diff
wholebrain+partsbrain,Felis,unweighted,Cerebellum,CMRgl,CVstar,23.81,23.81,match,
wholebrain+partsbrain,Felis,unweighted,Cingulate Cortex,CMRgl,N,1.0,1.0,match,
wholebrain+partsbrain,Felis,unweighted,Cingulate Cortex,CMRgl,Mean,47.0,47.0,match,
wholebrain+partsbrain,Felis,unweighted,Cingulate Cortex,CMRgl,SD,10.0,10.0,match,
wholebrain+partsbrain,Felis,unweighted,Cingulate Cortex,CMRgl,CV,21.28,21.28,match,
wholebrain+partsbrain,Felis,unweighted,Cingulate Cortex,CMRgl,CVstar,26.6,26.6,match,
wholebrain+partsbrain,Felis,unweighted,Cortex,CMRgl,N,2.0,2.0,match,
wholebrain+partsbrain,Felis,unweighted,Cortex,CMRgl,Mean,62.3,62.3,match,
wholebrain+partsbrain,Felis,unweighted,Cortex,CMRgl,SD,21.64,21.64,match,
wholebrain+partsbrain,Felis,unweighted,Cortex,CMRgl,CV,34.73,34.73,match,
wholebrain+partsbrain,Felis,unweighted,Cortex,CMRgl,CVstar,39.07,39.07,match,
wholebrain+partsbrain,Felis,unweighted,Frontal Cortex,CMRgl,N,1.0,1.0,match,
wholebrain+partsbrain,Felis,unweighted,Frontal Cortex,CMRgl,Mean,49.0,49.0,match,
wholebrain+partsbrain,Felis,unweighted,Frontal Cortex,CMRgl,SD,16.0,16.0,match,
wholebrain+partsbrain,Felis,unweighted,Frontal Cortex,CMRgl,CV,32.65,32.65,match,
wholebrain+partsbrain,Felis,unweighted,Frontal Cortex,CMRgl,CVstar,40.82,40.82,match,
wholebrain+partsbrain,Felis,unweighted,Hippocampus,CMRgl,N,2.0,2.0,match,
wholebrain+partsbrain,Felis,unweighted,Hippocampus,CMRgl,Mean,50.0,50.0,match,
wholebrain+partsbrain,Felis,unweighted,Hippocampus,CMRgl,SD,2.83,2.83,match,
wholebrain+partsbrain,Felis,unweighted,Hippocampus,CMRgl,CV,5.66,5.66,match,
wholebrain+partsbrain,Felis,unweighted,Hippocampus,CMRgl,CVstar,6.36,6.36,match,
wholebrain+partsbrain,Felis,unweighted,Occipital Cortex,CMRgl,N,1.0,1.0,match,
wholebrain+partsbrain,Felis,unweighted,Occipital Cortex,CMRgl,Mean,58.0,58.0,match,
wholebrain+partsbrain,Felis,unweighted,Occipital Cortex,CMRgl,SD,8.0,8.0,match,
wholebrain+partsbrain,Felis,unweighted,Occipital Cortex,CMRgl,CV,13.79,13.79,match,
wholebrain+partsbrain,Felis,unweighted,Occipital Cortex,CMRgl,CVstar,17.24,17.24,match,
wholebrain+partsbrain,Felis,unweighted,Parietal Cortex,CMRgl,N,1.0,1.0,match,
wholebrain+partsbrain,Felis,unweighted,Parietal Cortex,CMRgl,Mean,45.0,45.0,match,
wholebrain+partsbrain,Felis,unweighted,Parietal Cortex,CMRgl,SD,16.0,16.0,match,
wholebrain+partsbrain,Felis,unweighted,Parietal Cortex,CMRgl,CV,35.56,35.56,match,
wholebrain+partsbrain,Felis,unweighted,Parietal Cortex,CMRgl,CVstar,44.44,44.44,match,
wholebrain+partsbrain,Felis,unweighted,Temporal Cortex,CMRgl,N,1.0,1.0,match,
wholebrain+partsbrain,Felis,unweighted,Temporal Cortex,CMRgl,Mean,46.0,46.0,match,
wholebrain+partsbrain,Felis,unweighted,Temporal Cortex,CMRgl,SD,16.0,16.0,match,
wholebrain+partsbrain,Felis,unweighted,Temporal Cortex,CMRgl,CV,34.78,34.78,match,
wholebrain+partsbrain,Felis,unweighted,Temporal Cortex,CMRgl,CVstar,43.48,43.48,match,
wholebrain+partsbrain,Felis,unweighted,Thalamus,CMRgl,N,2.0,2.0,match,
wholebrain+partsbrain,Felis,unweighted,Thalamus,CMRgl,Mean,71.7,71.7,match,
wholebrain+partsbrain,Felis,unweighted,Thalamus,CMRgl,SD,19.37,19.37,match,
wholebrain+partsbrain,Felis,unweighted,Thalamus,CMRgl,CV,27.02,27.02,match,
wholebrain+partsbrain,Felis,unweighted,Thalamus,CMRgl,CVstar,30.4,30.4,match,
wholebrain+partsbrain,Felis,unweighted,White Matter,CMRgl,N,1.0,1.0,match,
wholebrain+partsbrain,Felis,unweighted,White Matter,CMRgl,Mean,12.0,12.0,match,
wholebrain+partsbrain,Felis,unweighted,White Matter,CMRgl,SD,2.0,2.0,match,
wholebrain+partsbrain,Felis,unweighted,White Matter,CMRgl,CV,16.67,16.67,match,
wholebrain+partsbrain,Felis,unweighted,White Matter,CMRgl,CVstar,20.83,20.83,match,
wholebrain+partsbrain,Felis,weighted,Basal Ganglia,CMRgl,N,11.0,11.0,match,
wholebrain+partsbrain,Felis,weighted,Basal Ganglia,CMRgl,Mean,55.87,55.87,match,
wholebrain+partsbrain,Felis,weighted,Basal Ganglia,CMRgl,SD,12.76,12.76,match,
wholebrain+partsbrain,Felis,weighted,Basal Ganglia,CMRgl,CV,22.84,22.84,match,
wholebrain+partsbrain,Felis,weighted,Basal Ganglia,CMRgl,CVstar,23.36,23.36,match,
wholebrain+partsbrain,Felis,weighted,Cerebellum,CMRgl,N,4.0,4.0,match,
wholebrain+partsbrain,Felis,weighted,Cerebellum,CMRgl,Mean,31.5,31.5,match,
wholebrain+partsbrain,Felis,weighted,Cerebellum,CMRgl,SD,6.0,6.0,match,
wholebrain+partsbrain,Felis,weighted,Cerebellum,CMRgl,CV,19.05,19.05,match,
wholebrain+partsbrain,Felis,weighted,Cerebellum,CMRgl,CVstar,20.24,20.24,match,
wholebrain+partsbrain,Felis,weighted,Cingulate Cortex,CMRgl,N,4.0,4.0,match,
wholebrain+partsbrain,Felis,weighted,Cingulate Cortex,CMRgl,Mean,47.0,47.0,match,
wholebrain+partsbrain,Felis,weighted,Cingulate Cortex,CMRgl,SD,10.0,10.0,match,
wholebrain+partsbrain,Felis,weighted,Cingulate Cortex,CMRgl,CV,21.28,21.28,match,
wholebrain+partsbrain,Felis,weighted,Cingulate Cortex,CMRgl,CVstar,22.61,22.61,match,
wholebrain+partsbrain,Felis,weighted,Cortex,CMRgl,N,11.0,11.0,match,
wholebrain+partsbrain,Felis,weighted,Cortex,CMRgl,Mean,66.47,66.47,match,
wholebrain+partsbrain,Felis,weighted,Cortex,CMRgl,SD,12.19,12.19,match,
wholebrain+partsbrain,Felis,weighted,Cortex,CMRgl,CV,18.34,18.34,match,
wholebrain+partsbrain,Felis,weighted,Cortex,CMRgl,CVstar,18.76,18.76,match,
wholebrain+partsbrain,Felis,weighted,Frontal Cortex,CMRgl,N,4.0,4.0,match,
wholebrain+partsbrain,Felis,weighted,Frontal Cortex,CMRgl,Mean,49.0,49.0,match,
wholebrain+partsbrain,Felis,weighted,Frontal Cortex,CMRgl,SD,16.0,16.0,match,
wholebrain+partsbrain,Felis,weighted,Frontal Cortex,CMRgl,CV,32.65,32.65,match,
wholebrain+partsbrain,Felis,weighted,Frontal Cortex,CMRgl,CVstar,34.69,34.69,match,
wholebrain+partsbrain,Felis,weighted,Hippocampus,CMRgl,N,11.0,11.0,match,
wholebrain+partsbrain,Felis,weighted,Hippocampus,CMRgl,Mean,50.55,50.55,match,
wholebrain+partsbrain,Felis,weighted,Hippocampus,CMRgl,SD,12.9,12.9,match,
wholebrain+partsbrain,Felis,weighted,Hippocampus,CMRgl,CV,25.52,25.52,match,
wholebrain+partsbrain,Felis,weighted,Hippocampus,CMRgl,CVstar,26.1,26.1,match,
wholebrain+partsbrain,Felis,weighted,Occipital Cortex,CMRgl,N,4.0,4.0,match,
wholebrain+partsbrain,Felis,weighted,Occipital Cortex,CMRgl,Mean,58.0,58.0,match,
wholebrain+partsbrain,Felis,weighted,Occipital Cortex,CMRgl,SD,8.0,8.0,match,
wholebrain+partsbrain,Felis,weighted,Occipital Cortex,CMRgl,CV,13.79,13.79,match,
wholebrain+partsbrain,Felis,weighted,Occipital Cortex,CMRgl,CVstar,14.66,14.66,match,
wholebrain+partsbrain,Felis,weighted,Parietal Cortex,CMRgl,N,4.0,4.0,match,
wholebrain+partsbrain,Felis,weighted,Parietal Cortex,CMRgl,Mean,45.0,45.0,match,
wholebrain+partsbrain,Felis,weighted,Parietal Cortex,CMRgl,SD,16.0,16.0,match,
wholebrain+partsbrain,Felis,weighted,Parietal Cortex,CMRgl,CV,35.56,35.56,match,
wholebrain+partsbrain,Felis,weighted,Parietal Cortex,CMRgl,CVstar,37.78,37.78,match,
wholebrain+partsbrain,Felis,weighted,Temporal Cortex,CMRgl,N,4.0,4.0,match,
wholebrain+partsbrain,Felis,weighted,Temporal Cortex,CMRgl,Mean,46.0,46.0,match,
wholebrain+partsbrain,Felis,weighted,Temporal Cortex,CMRgl,SD,16.0,16.0,match,
wholebrain+partsbrain,Felis,weighted,Temporal Cortex,CMRgl,CV,34.78,34.78,match,
wholebrain+partsbrain,Felis,weighted,Temporal Cortex,CMRgl,CVstar,36.96,36.96,match,
wholebrain+partsbrain,Felis,weighted,Thalamus,CMRgl,N,11.0,11.0,match,
wholebrain+partsbrain,Felis,weighted,Thalamus,CMRgl,Mean,75.44,75.44,match,
wholebrain+partsbrain,Felis,weighted,Thalamus,CMRgl,SD,14.32,14.32,match,
wholebrain+partsbrain,Felis,weighted,Thalamus,CMRgl,CV,18.98,18.98,match,
wholebrain+partsbrain,Felis,weighted,Thalamus,CMRgl,CVstar,19.41,19.41,match,
wholebrain+partsbrain,Felis,weighted,White Matter,CMRgl,N,4.0,4.0,match,
wholebrain+partsbrain,Felis,weighted,White Matter,CMRgl,Mean,12.0,12.0,match,
wholebrain+partsbrain,Felis,weighted,White Matter,CMRgl,SD,2.0,2.0,match,
wholebrain+partsbrain,Felis,weighted,White Matter,CMRgl,CV,16.67,16.67,match,
wholebrain+partsbrain,Felis,weighted,White Matter,CMRgl,CVstar,17.71,17.71,match,
wholebrain+partsbrain,Homo,unweighted,Auditory Cortex,CMRgl,N,4.0,4.0,match,
wholebrain+partsbrain,Homo,unweighted,Auditory Cortex,CMRgl,Mean,40.23,40.23,match,
wholebrain+partsbrain,Homo,unweighted,Auditory Cortex,CMRgl,SD,5.41,5.41,match,
wholebrain+partsbrain,Homo,unweighted,Auditory Cortex,CMRgl,CV,13.44,13.44,match,
wholebrain+partsbrain,Homo,unweighted,Auditory Cortex,CMRgl,CVstar,14.28,14.28,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CBF,N,4.0,4.0,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CBF,Mean,45.75,45.75,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CBF,SD,5.28,5.28,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CBF,CV,11.54,11.54,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CBF,CVstar,12.27,12.27,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CMRO2,N,11.0,11.0,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CMRO2,Mean,169.63,169.63,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CMRO2,SD,33.78,33.78,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CMRO2,CV,19.92,19.92,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CMRO2,CVstar,20.37,20.37,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CMRgl,N,32.0,32.0,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CMRgl,Mean,36.72,36.72,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CMRgl,SD,6.99,6.99,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CMRgl,CV,19.04,19.04,match,
wholebrain+partsbrain,Homo,unweighted,Basal Ganglia,CMRgl,CVstar,19.19,19.19,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CBF,N,5.0,5.0,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CBF,Mean,57.75,57.75,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CBF,SD,16.49,16.49,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CBF,CV,28.56,28.56,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CBF,CVstar,29.98,29.98,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CMRO2,N,8.0,8.0,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CMRO2,Mean,183.41,183.41,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CMRO2,SD,30.87,30.87,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CMRO2,CV,16.83,16.83,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CMRO2,CVstar,17.36,17.36,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CMRgl,N,22.0,22.0,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CMRgl,Mean,33.02,33.02,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CMRgl,SD,5.68,5.68,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CMRgl,CV,17.21,17.21,match,
wholebrain+partsbrain,Homo,unweighted,Cerebellum,CMRgl,CVstar,17.4,17.4,match,
wholebrain+partsbrain,Homo,unweighted,Cingulate Cortex,CMRO2,N,3.0,3.0,match,
wholebrain+partsbrain,Homo,unweighted,Cingulate Cortex,CMRO2,Mean,150.8,150.8,match,
wholebrain+partsbrain,Homo,unweighted,Cingulate Cortex,CMRO2,SD,36.96,36.96,match,
wholebrain+partsbrain,Homo,unweighted,Cingulate Cortex,CMRO2,CV,24.51,24.51,match,
wholebrain+partsbrain,Homo,unweighted,Cingulate Cortex,CMRO2,CVstar,26.55,26.55,match,
wholebrain+partsbrain,Homo,unweighted,Cingulate Cortex,CMRgl,N,12.0,12.0,match,
wholebrain+partsbrain,Homo,unweighted,Cingulate Cortex,CMRgl,Mean,38.9,38.9,match,
wholebrain+partsbrain,Homo,unweighted,Cingulate Cortex,CMRgl,SD,7.5,7.5,match,
wholebrain+partsbrain,Homo,unweighted,Cingulate Cortex,CMRgl,CV,19.28,19.28,match,
wholebrain+partsbrain,Homo,unweighted,Cingulate Cortex,CMRgl,CVstar,19.68,19.68,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CBF,N,10.0,10.0,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CBF,Mean,44.61,44.61,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CBF,SD,2.25,2.25,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CBF,CV,5.04,5.04,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CBF,CVstar,5.16,5.16,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CMRO2,N,13.0,13.0,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CMRO2,Mean,150.73,150.73,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CMRO2,SD,20.23,20.23,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CMRO2,CV,13.42,13.42,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CMRO2,CVstar,13.68,13.68,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CMRgl,N,49.0,49.0,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CMRgl,Mean,35.68,35.68,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CMRgl,SD,6.4,6.4,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CMRgl,CV,17.94,17.94,match,
wholebrain+partsbrain,Homo,unweighted,Cortex,CMRgl,CVstar,18.03,18.03,match,
wholebrain+partsbrain,Homo,unweighted,Frontal Cortex,CMRO2,N,18.0,18.0,match,
wholebrain+partsbrain,Homo,unweighted,Frontal Cortex,CMRO2,Mean,149.39,149.39,match,
wholebrain+partsbrain,Homo,unweighted,Frontal Cortex,CMRO2,SD,27.7,27.7,match,
wholebrain+partsbrain,Homo,unweighted,Frontal Cortex,CMRO2,CV,18.54,18.54,match,
wholebrain+partsbrain,Homo,unweighted,Frontal Cortex,CMRO2,CVstar,18.8,18.8,match,
wholebrain+partsbrain,Homo,unweighted,Frontal Cortex,CMRgl,N,40.0,40.0,match,
wholebrain+partsbrain,Homo,unweighted,Frontal Cortex,CMRgl,Mean,36.31,36.31,match,
wholebrain+partsbrain,Homo,unweighted,Frontal Cortex,CMRgl,SD,6.51,6.51,match,
wholebrain+partsbrain,Homo,unweighted,Frontal Cortex,CMRgl,CV,17.94,17.94,match,
wholebrain+partsbrain,Homo,unweighted,Frontal Cortex,CMRgl,CVstar,18.05,18.05,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CBF,N,2.0,2.0,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CBF,Mean,47.4,47.4,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CBF,SD,7.35,7.35,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CBF,CV,15.51,15.51,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CBF,CVstar,17.45,17.45,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CMRO2,N,1.0,1.0,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CMRO2,Mean,137.05,137.05,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CMRO2,SD,24.6,24.6,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CMRO2,CV,17.95,17.95,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CMRO2,CVstar,22.44,22.44,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CMRgl,N,8.0,8.0,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CMRgl,Mean,30.34,30.34,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CMRgl,SD,6.71,6.71,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CMRgl,CV,22.12,22.12,match,
wholebrain+partsbrain,Homo,unweighted,Hippocampus,CMRgl,CVstar,22.81,22.81,match,
wholebrain+partsbrain,Homo,unweighted,Occipital Cortex,CMRO2,N,18.0,18.0,match,
wholebrain+partsbrain,Homo,unweighted,Occipital Cortex,CMRO2,Mean,167.31,167.31,match,
wholebrain+partsbrain,Homo,unweighted,Occipital Cortex,CMRO2,SD,32.81,32.81,match,
wholebrain+partsbrain,Homo,unweighted,Occipital Cortex,CMRO2,CV,19.61,19.61,match,
wholebrain+partsbrain,Homo,unweighted,Occipital Cortex,CMRO2,CVstar,19.88,19.88,match,
wholebrain+partsbrain,Homo,unweighted,Occipital Cortex,CMRgl,N,31.0,31.0,match,
wholebrain+partsbrain,Homo,unweighted,Occipital Cortex,CMRgl,Mean,37.37,37.37,match,
wholebrain+partsbrain,Homo,unweighted,Occipital Cortex,CMRgl,SD,7.1,7.1,match,
wholebrain+partsbrain,Homo,unweighted,Occipital Cortex,CMRgl,CV,18.99,18.99,match,
wholebrain+partsbrain,Homo,unweighted,Occipital Cortex,CMRgl,CVstar,19.15,19.15,match,
wholebrain+partsbrain,Homo,unweighted,Parietal Cortex,CMRO2,N,16.0,16.0,match,
wholebrain+partsbrain,Homo,unweighted,Parietal Cortex,CMRO2,Mean,155.25,155.25,match,
wholebrain+partsbrain,Homo,unweighted,Parietal Cortex,CMRO2,SD,26.87,26.87,match,
wholebrain+partsbrain,Homo,unweighted,Parietal Cortex,CMRO2,CV,17.31,17.31,match,
wholebrain+partsbrain,Homo,unweighted,Parietal Cortex,CMRO2,CVstar,17.58,17.58,match,
wholebrain+partsbrain,Homo,unweighted,Parietal Cortex,CMRgl,N,36.0,36.0,match,
wholebrain+partsbrain,Homo,unweighted,Parietal Cortex,CMRgl,Mean,36.02,36.02,match,
wholebrain+partsbrain,Homo,unweighted,Parietal Cortex,CMRgl,SD,7.85,7.85,match,
wholebrain+partsbrain,Homo,unweighted,Parietal Cortex,CMRgl,CV,21.79,21.79,match,
wholebrain+partsbrain,Homo,unweighted,Parietal Cortex,CMRgl,CVstar,21.95,21.95,match,
wholebrain+partsbrain,Homo,unweighted,Sensorimotor Cortex,CMRO2,N,5.0,5.0,match,
wholebrain+partsbrain,Homo,unweighted,Sensorimotor Cortex,CMRO2,Mean,148.43,148.43,match,
wholebrain+partsbrain,Homo,unweighted,Sensorimotor Cortex,CMRO2,SD,34.39,34.39,match,
wholebrain+partsbrain,Homo,unweighted,Sensorimotor Cortex,CMRO2,CV,23.17,23.17,match,
wholebrain+partsbrain,Homo,unweighted,Sensorimotor Cortex,CMRO2,CVstar,24.33,24.33,match,
wholebrain+partsbrain,Homo,unweighted,Sensorimotor Cortex,CMRgl,N,10.0,10.0,match,
wholebrain+partsbrain,Homo,unweighted,Sensorimotor Cortex,CMRgl,Mean,37.31,37.31,match,
wholebrain+partsbrain,Homo,unweighted,Sensorimotor Cortex,CMRgl,SD,7.76,7.76,match,
wholebrain+partsbrain,Homo,unweighted,Sensorimotor Cortex,CMRgl,CV,20.8,20.8,match,
wholebrain+partsbrain,Homo,unweighted,Sensorimotor Cortex,CMRgl,CVstar,21.32,21.32,match,
wholebrain+partsbrain,Homo,unweighted,Temporal Cortex,CMRO2,N,14.0,14.0,match,
wholebrain+partsbrain,Homo,unweighted,Temporal Cortex,CMRO2,Mean,155.13,155.13,match,
wholebrain+partsbrain,Homo,unweighted,Temporal Cortex,CMRO2,SD,25.49,25.49,match,
wholebrain+partsbrain,Homo,unweighted,Temporal Cortex,CMRO2,CV,16.43,16.43,match,
wholebrain+partsbrain,Homo,unweighted,Temporal Cortex,CMRO2,CVstar,16.72,16.72,match,
wholebrain+partsbrain,Homo,unweighted,Temporal Cortex,CMRgl,N,37.0,37.0,match,
wholebrain+partsbrain,Homo,unweighted,Temporal Cortex,CMRgl,Mean,33.23,33.23,match,
wholebrain+partsbrain,Homo,unweighted,Temporal Cortex,CMRgl,SD,6.86,6.86,match,
wholebrain+partsbrain,Homo,unweighted,Temporal Cortex,CMRgl,CV,20.64,20.64,match,
wholebrain+partsbrain,Homo,unweighted,Temporal Cortex,CMRgl,CVstar,20.78,20.78,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CBF,N,8.0,8.0,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CBF,Mean,54.23,54.23,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CBF,SD,7.59,7.59,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CBF,CV,14.0,14.0,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CBF,CVstar,14.43,14.43,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CMRO2,N,9.0,9.0,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CMRO2,Mean,177.33,177.33,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CMRO2,SD,38.21,38.21,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CMRO2,CV,21.55,21.55,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CMRO2,CVstar,22.15,22.15,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CMRgl,N,33.0,33.0,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CMRgl,Mean,36.51,36.51,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CMRgl,SD,6.26,6.26,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CMRgl,CV,17.16,17.16,match,
wholebrain+partsbrain,Homo,unweighted,Thalamus,CMRgl,CVstar,17.29,17.29,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CBF,N,11.0,11.0,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CBF,Mean,23.07,23.07,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CBF,SD,3.61,3.61,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CBF,CV,15.65,15.65,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CBF,CVstar,16.01,16.01,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CMRO2,N,10.0,10.0,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CMRO2,Mean,74.8,74.8,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CMRO2,SD,10.54,10.54,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CMRO2,CV,14.09,14.09,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CMRO2,CVstar,14.44,14.44,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CMRgl,N,13.0,13.0,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CMRgl,Mean,19.15,19.15,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CMRgl,SD,5.36,5.36,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CMRgl,CV,27.99,27.99,match,
wholebrain+partsbrain,Homo,unweighted,White Matter,CMRgl,CVstar,28.53,28.53,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CBF,N,35.0,35.0,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CBF,Mean,53.06,53.06,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CBF,SD,7.04,7.04,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CBF,CV,13.27,13.27,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CBF,CVstar,13.36,13.36,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CMRO2,N,37.0,37.0,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CMRO2,Mean,156.92,156.92,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CMRO2,SD,18.64,18.64,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CMRO2,CV,11.88,11.88,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CMRO2,CVstar,11.96,11.96,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CMRgl,N,22.0,22.0,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CMRgl,Mean,29.31,29.31,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CMRgl,SD,4.42,4.42,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CMRgl,CV,15.07,15.07,match,
wholebrain+partsbrain,Homo,unweighted,Whole Brain,CMRgl,CVstar,15.24,15.24,match,
wholebrain+partsbrain,Homo,weighted,Auditory Cortex,CMRgl,N,45.0,45.0,match,
wholebrain+partsbrain,Homo,weighted,Auditory Cortex,CMRgl,Mean,40.56,40.56,match,
wholebrain+partsbrain,Homo,weighted,Auditory Cortex,CMRgl,SD,5.87,5.87,match,
wholebrain+partsbrain,Homo,weighted,Auditory Cortex,CMRgl,CV,14.47,14.47,match,
wholebrain+partsbrain,Homo,weighted,Auditory Cortex,CMRgl,CVstar,14.55,14.55,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CBF,N,52.0,52.0,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CBF,Mean,43.54,43.54,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CBF,SD,7.46,7.46,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CBF,CV,17.13,17.13,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CBF,CVstar,17.21,17.21,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CMRO2,N,133.0,133.0,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CMRO2,Mean,156.16,156.16,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CMRO2,SD,28.11,28.11,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CMRO2,CV,18.0,18.0,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CMRO2,CVstar,18.03,18.03,match,
wholebrain+partsbrain,Homo,weighted,Basal Ganglia,CMRgl,N,372.0,372.0,match,
